epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,50.3064,0.28298,0.42862,0.86473,0.98269,1,0.995,0.995,0.27464,0.49306,0.87483,0.00166657,0.000666567,0.000666567
101,50.8009,0.25378,0.35375,0.90666,0.98269,1,0.995,0.995,0.27464,0.49306,0.87483,0.00067,0.00067,0.00067
102,51.2743,0.28277,0.38165,0.89587,0.98269,1,0.995,0.995,0.27464,0.49306,0.87483,0.0006667,0.0006667,0.0006667
103,51.8293,0.30211,0.37887,0.87434,0.98269,1,0.995,0.995,0.27464,0.49306,0.87483,0.0006634,0.0006634,0.0006634
104,52.4836,0.26527,0.36437,0.90335,0.97118,1,0.995,0.995,0.26935,0.56118,0.87076,0.0006601,0.0006601,0.0006601
105,53.0952,0.37145,0.40688,0.89042,0.97118,1,0.995,0.995,0.26935,0.56118,0.87076,0.0006568,0.0006568,0.0006568
106,53.6951,0.29833,0.3871,0.92501,0.97118,1,0.995,0.995,0.26935,0.56118,0.87076,0.0006535,0.0006535,0.0006535
107,54.2792,0.33837,0.4035,0.89622,0.97118,1,0.995,0.995,0.26935,0.56118,0.87076,0.0006502,0.0006502,0.0006502
108,54.8721,0.31175,0.40977,0.94499,0.98488,1,0.995,0.995,0.22852,0.53566,0.83565,0.0006469,0.0006469,0.0006469
109,55.345,0.29536,0.38611,0.91149,0.98488,1,0.995,0.995,0.22852,0.53566,0.83565,0.0006436,0.0006436,0.0006436
110,55.939,0.28249,0.37326,0.86978,0.98488,1,0.995,0.995,0.22852,0.53566,0.83565,0.0006403,0.0006403,0.0006403
111,56.452,0.29669,0.36874,0.91604,0.98488,1,0.995,0.995,0.22852,0.53566,0.83565,0.000637,0.000637,0.000637
112,57.0044,0.26784,0.33857,0.85339,0.98597,1,0.995,0.995,0.22731,0.39736,0.81092,0.0006337,0.0006337,0.0006337
113,57.5022,0.2795,0.37025,0.92816,0.98597,1,0.995,0.995,0.22731,0.39736,0.81092,0.0006304,0.0006304,0.0006304
114,58.0189,0.25201,0.32837,0.869,0.98597,1,0.995,0.995,0.22731,0.39736,0.81092,0.0006271,0.0006271,0.0006271
115,58.5153,0.29688,0.37498,0.8365,0.98597,1,0.995,0.995,0.22731,0.39736,0.81092,0.0006238,0.0006238,0.0006238
116,59.1224,0.25208,0.32452,0.83567,0.98567,1,0.995,0.9399,0.32516,0.47503,0.85921,0.0006205,0.0006205,0.0006205
117,59.6505,0.29374,0.40408,0.9184,0.98567,1,0.995,0.9399,0.32516,0.47503,0.85921,0.0006172,0.0006172,0.0006172
118,60.1423,0.31273,0.36201,0.92294,0.98567,1,0.995,0.9399,0.32516,0.47503,0.85921,0.0006139,0.0006139,0.0006139
119,60.6366,0.29995,0.37538,0.88502,0.98567,1,0.995,0.9399,0.32516,0.47503,0.85921,0.0006106,0.0006106,0.0006106
120,61.1491,0.29579,0.38191,0.87621,0.98519,1,0.995,0.9399,0.36861,0.52946,0.89005,0.0006073,0.0006073,0.0006073
121,61.7362,0.3404,0.35346,0.90718,0.98519,1,0.995,0.9399,0.36861,0.52946,0.89005,0.000604,0.000604,0.000604
122,62.2489,0.24025,0.34452,0.84341,0.98519,1,0.995,0.9399,0.36861,0.52946,0.89005,0.0006007,0.0006007,0.0006007
123,62.7471,0.29474,0.39301,0.89372,0.98519,1,0.995,0.9399,0.36861,0.52946,0.89005,0.0005974,0.0005974,0.0005974
124,63.2653,0.25842,0.33122,0.86782,0.98302,1,0.995,0.95107,0.30807,0.41919,0.85632,0.0005941,0.0005941,0.0005941
125,63.7583,0.28405,0.33931,0.85257,0.98302,1,0.995,0.95107,0.30807,0.41919,0.85632,0.0005908,0.0005908,0.0005908
126,64.3373,0.28603,0.38955,0.86389,0.98302,1,0.995,0.95107,0.30807,0.41919,0.85632,0.0005875,0.0005875,0.0005875
